Number or provisional designation in packed form,H absolute magnitude,G slope parameter,Epoch in packed form .0 TT,Mean anomaly at epoch in degrees,Argument of perihelion J2000.0 degrees,Longitude of ascending node J2000.0 degrees,Inclination to ecliptic J2000.0 degrees,Orbital eccentricity,Mean daily motion degrees per day,Semimajor axis AU,Uncertainty parameter U,Reference,Number of observations,Number of oppositions,Year of first observation,Year of last observation,Arc length days,RMS residual arcsec,Coarse indicator of perturbers blank if unperturbed one opposition object,Precise indicator of perturbers blank if unperturbed one opposition object,Computer name,Readable designation,Date of last observation included in orbit solution YYYYMMDD
K11Uf1D,7.09,0.15,K221L,290.10308,131.38663,18.99818,15.66222,0.2856246,0.00400212,39.2894316,4,MPO599335,32,5,2011,2020,-999,0.28,M-v,3Ek,Pike,2011 UD411,20201209
K11Uf1E,9.3,0.15,K221L,340.95786,72.63648,17.01324,9.33676,0.3214035,0.00298135,47.8109253,4,MPO317695,14,2,2011,2013,-999,0.12,M-v,38h,MPCW,2011 UE411,20130114
K11Uf1F,8.44,0.15,K221L,336.61745,195.1677,261.72125,5.87649,0.347377,0.00296355,48.0021849,5,MPO599335,39,4,2011,2020,-999,0.18,M-v,3Ek,Pike,2011 UF411,20201209
K11Uf1G,8.6,0.15,K221L,38.50859,114.66304,238.82616,10.68723,0.1475922,0.00296549,47.9813238,3,MPO456811,21,3,2011,2015,-999,0.12,M-v,38h,MPCLINUX,2011 UG411,20151009
K11Uf1H,8.6,0.15,K221L,359.14057,197.53193,214.02029,27.00457,0.2420135,0.00312201,46.3639354,3,MPO434967,20,3,2011,2017,-999,0.1,M-v,38h,MPCLINUX,2011 UH411,20171220
K11Uf1J,8.4,0.15,K221L,359.38429,28.23823,21.52542,5.12906,0.1225223,0.00355971,42.4808562,2,E2020-V40,23,3,2011,2020,-999,0.12,M-v,38h,Alexanders,2011 UJ411,20201020
K11Uf1L,8.7,0.15,K221L,13.31499,81.39057,308.28827,1.97458,0.0768728,0.00356586,42.4320045,5,MPO317695,16,2,2011,2013,-999,0.11,M-v,38h,MPCW,2011 UL411,20130203
K11Uf1M,7.3,0.15,K221L,195.3133,198.0903,11.3323,9.35386,0.141952,0.0035731,42.3746274,3,E2020-V08,17,4,2011,2020,-999,0.15,M-v,38h,Pike,2011 UM411,20201020
K11Uf1N,9.2,0.15,K221L,16.16443,60.90213,326.24669,3.23261,0.2150053,0.00354948,42.5624067,5,MPO317696,23,2,2011,2013,-999,0.12,M-v,38h,MPCW,2011 UN411,20130206
K11Uf1O,8.7,0.15,K221L,1.84371,98.04464,309.93451,5.29071,0.2096919,0.00355876,42.4884136,2,E2020-V40,32,3,2011,2020,-999,0.1,M-v,38h,Alexanders,2011 UO411,20201020
K11Uf1P,8.4,0.15,K221L,5.12205,159.99796,231.95147,13.42472,0.4969258,0.00146964,76.6177009,2,MPO377829,20,3,2008,2013,-999,0.11,M-v,38h,MPCADO,2011 UP411,20130206
K11Uf1Q,7.0,0.15,K221L,323.13024,263.00269,215.48568,40.33069,0.400175,0.00199811,62.4295581,3,MPO434967,27,3,2011,2017,-999,0.1,M-v,38h,MPCLINUX,2011 UQ411,20171220
K11Uf1R,8.5,0.15,K221L,354.93579,44.60151,23.298,26.54048,0.4360247,0.00201041,62.1745442,3,MPO543762,21,3,2011,2015,-999,0.13,M-v,38h,Rudenko,2011 UR411,20151108
K11Uf1S,9.2,0.15,K221L,7.56503,9.11749,24.74303,22.01034,0.5040485,0.0019749,62.917652,2,MPO357179,23,3,2011,2015,-999,0.15,M-v,38h,MPCADO,2011 US411,20151108
K11Uf1T,7.5,0.15,K221L,313.43825,129.68076,4.73871,6.40082,0.4043672,0.00236264,55.8304189,5,MPO317696,20,2,2011,2013,-999,0.13,M-v,38h,MPCW,2011 UT411,20130203
K11Uf1U,7.9,0.15,K221L,323.09934,87.78304,356.78661,1.68855,0.0305568,0.00336229,44.127866,3,MPO543762,26,3,2011,2019,-999,0.12,M-v,38h,Rudenko,2011 UU411,20191026
K11Uf1V,8.2,0.15,K221L,54.28134,325.06079,20.08605,4.40563,0.0715005,0.0034269,43.57143,4,MPO317697,23,2,2011,2013,-999,0.12,M-v,38h,MPCW,2011 UV411,20130203
K11Uf1W,8.4,0.15,K221L,311.82698,93.12976,18.39315,4.51699,0.1654392,0.00337595,44.0087447,3,MPO317697,20,2,2011,2013,-999,0.12,M-v,38h,MPCW,2011 UW411,20130203
K11Uf1X,8.5,0.15,K221L,55.92585,317.10693,24.09306,7.19212,0.1030653,0.00353961,42.6414848,5,MPO317697,23,2,2011,2013,-999,0.15,M-v,38h,MPCW,2011 UX411,20130114
K11Uf1Y,7.8,0.15,K221L,311.64751,149.79706,309.16409,1.9075,0.0644878,0.00333007,44.412019,2,MPO434967,27,3,2011,2017,-999,0.1,M-v,38h,MPCLINUX,2011 UY411,20171220
K11Uf1Z,7.8,0.15,K221L,84.97735,357.28532,314.99444,1.21323,0.0570656,0.00318334,45.7664556,2,MPO434967,24,3,2011,2017,-999,0.1,M-v,38h,MPCLINUX,2011 UZ411,20171220
K11Uf2A,8.7,0.15,K221L,4.55556,145.86912,252.51893,2.95832,0.1526702,0.00310722,46.5108634,5,MPO317697,12,2,2011,2012,-999,0.11,M-v,38h,MPCW,2011 UA412,20121021
K11Uf2B,7.9,0.15,K221L,127.54899,254.20948,14.42723,15.27085,0.0589519,0.00341011,43.7143299,4,MPO357179,19,3,2011,2015,-999,0.15,M-v,38h,MPCADO,2011 UB412,20151108
K11Uf2C,7.82,0.15,K221L,30.25116,33.42856,337.25168,3.12704,0.0755615,0.00342115,43.6202159,3,MPO660087,31,4,2011,2021,-999,0.19,M-v,3Ek,MPCLINUX,2011 UC412,20211003
K11Uf2D,6.9,0.15,K221L,315.67127,94.83122,358.18888,5.48104,0.0528638,0.00319908,45.6162138,3,MPO456811,25,4,2011,2015,-999,0.11,M-v,38h,MPCLINUX,2011 UD412,20151009
K11Uf2E,6.7,0.15,K221L,176.14501,7.98203,218.09795,22.75695,0.1081866,0.00341595,43.664457,4,MPO434967,28,3,2011,2017,-999,0.11,M-v,38h,MPCLINUX,2011 UE412,20171220
K11Uf2F,8.2,0.15,K221L,147.89422,302.92164,313.68871,2.14588,0.0087907,0.00323594,45.2691698,6,MPO317698,12,2,2011,2012,-999,0.1,M-v,38h,MPCW,2011 UF412,20121021
K11Uf2G,7.7,0.15,K221L,59.08833,26.0729,303.69787,2.49748,0.1612788,0.003084,46.7440574,2,E2020-V40,35,3,2011,2020,-999,0.12,M-v,38h,Alexanders,2011 UG412,20201020
K11Uf2H,8.2,0.15,K221L,306.19949,92.23767,21.44256,15.08409,0.1155039,0.003526,42.7511695,3,MPO317698,22,2,2011,2013,-999,0.1,M-v,38h,MPCW,2011 UH412,20130203
K11Uf2J,8.1,0.15,K221L,234.90994,146.18876,26.97812,29.69292,0.0249461,0.00359858,42.1743716,5,MPO317699,17,2,2011,2013,-999,0.08,M-v,38h,MPCW,2011 UJ412,20130203
K11Uf2K,7.9,0.15,K221L,28.5808,151.57998,218.90126,26.32682,0.0970492,0.00376313,40.9357676,2,MPO543762,35,4,2008,2019,-999,0.15,M-v,38h,Rudenko,2011 UK412,20191026
K11Uf2L,7.7,0.15,K221L,91.65327,63.51941,239.44378,10.36799,0.0852417,0.00346639,43.2399073,2,MPO543762,23,3,2011,2019,-999,0.1,M-v,38h,Rudenko,2011 UL412,20191026
K11Uf2M,8.5,0.15,K221L,40.01238,124.45665,231.68112,10.72115,0.1373591,0.00319762,45.6300647,5,MPO317699,27,2,2011,2013,-999,0.13,M-v,38h,MPCW,2011 UM412,20130203
K11Uf2N,8.5,0.15,K221L,224.12797,325.28687,216.31905,20.37771,0.0527594,0.00402915,39.113532,5,MPO317699,13,2,2011,2013,-999,0.08,M-v,38h,MPCW,2011 UN412,20130206
K11Uf2O,7.9,0.15,K221L,94.78224,275.04541,21.05842,27.72491,0.1292885,0.00417641,38.1886218,3,MPO434967,28,3,2011,2017,-999,0.12,M-v,38h,MPCLINUX,2011 UO412,20171220
K11Uf2P,8.2,0.15,K221L,0.29724,26.35865,23.01717,19.68555,0.3490991,0.00230634,56.7353253,2,MPO473222,25,3,2011,2019,-999,0.11,M-v,38h,MPCW,2011 UP412,20190208
K11Uf2Q,7.7,0.15,K221L,359.06001,197.35482,219.91427,16.69493,0.4873622,0.00176182,67.8934506,2,MPO434967,24,3,2011,2017,-999,0.08,M-v,38h,MPCLINUX,2011 UQ412,20171220
K11Uf2R,8.8,0.15,K221L,351.51758,53.77594,15.19271,17.83988,0.3174077,0.00275974,50.3373489,2,MPO543762,22,3,2011,2019,-999,0.11,M-v,38h,Rudenko,2011 UR412,20191026
K11Uf2S,7.7,0.15,K221L,300.93367,114.73916,4.92184,2.59567,0.1590047,0.00295763,48.0662015,2,MPO543762,18,3,2011,2019,-999,0.11,M-v,38h,Rudenko,2011 US412,20191026
K11Uf2T,7.8,0.15,K221L,76.30742,81.27651,224.30538,17.7967,0.1851698,0.00293133,48.353328,4,MPO317700,15,2,2011,2013,-999,0.13,M-v,38h,MPCW,2011 UT412,20130206
K11Uf2V,8.0,0.15,K221L,78.63447,65.59394,219.28461,11.51145,0.3047268,0.00286932,49.0475114,7,MPO317700,9,2,2011,2012,-999,0.09,M-v,38h,MPCW,2011 UV412,20120824
K11Uf2W,9.0,0.15,K221L,11.33472,134.03742,233.16738,12.96763,0.5283222,0.00139721,79.2432382,4,MPO317700,18,2,2011,2013,-999,0.11,M-v,38h,MPCW,2011 UW412,20130206
K11Uf2Z,9.3,0.15,K221L,13.36149,26.83227,9.67019,6.79808,0.1368658,0.00445492,36.5799459,4,MPO317700,24,2,2011,2013,-999,0.11,M-v,38h,MPCW,2011 UZ412,20130206
K11Uf3A,8.68,0.15,K221L,27.20589,84.04346,292.21185,5.44282,0.137199,0.00443374,36.6963143,3,MPO599335,23,4,2011,2020,-999,0.36,M-v,3Ek,Pike,2011 UA413,20201209
K11Uf3J,6.8,0.15,K221L,11.02358,265.79318,146.34153,17.39331,0.511048,0.001548,74.0098701,0,MPO473222,105,12,1998,2017,-999,0.15,M-v,38h,MPCLINUX,2011 UJ413,20171208
K11Uf3K,6.5,0.15,K221L,94.04085,86.0577,256.4946,13.63735,0.0927482,0.00368135,41.5398566,2,MPO473222,47,9,2003,2017,-999,0.18,M-v,38h,MPCLINUX,2011 UK413,20170901
K11V24Z,6.98,0.15,K221L,19.24706,198.90188,200.64111,23.19673,0.3363734,0.00268963,51.2083513,2,E2021-VR4,98,9,2010,2021,-999,0.89,M-v,3Ek,MPCLINUX,2011 VZ24,20211105
K11W41S,17.5,0.15,K221L,16.50688,326.68792,105.86344,141.6626,0.9450506,0.00429086,37.5064912,3,MPO555400,19,1,-999,-999,20,0.27,M-v,38h,Veres,2011 WS41,20111130
K11WF7J,4.94,0.15,K221L,354.81186,58.61745,76.46933,27.10778,0.6176309,0.00101701,97.930948,4,E2021-WA8,89,10,2010,2021,-999,0.52,M-v,3Ek,MPCLINUX,2011 WJ157,20211128
K12A25Z,5.5,0.15,K221L,310.96104,38.12944,187.51131,17.73534,0.3327107,0.00246414,54.2866231,1,MPO543787,131,8,2011,2020,-999,0.15,M-v,38h,Rudenko,2012 AZ25,20200122
K12BF4V,6.9,0.15,K221L,17.32903,337.70545,176.66548,12.26556,0.1916978,0.00310416,46.5414451,2,MPO473227,19,5,2011,2019,-999,0.16,M-v,38h,MPCW,2012 BV154,20190208
K12BF4Y,6.9,0.15,K221L,344.77413,193.01123,3.70858,7.1651,0.1642303,0.00361875,42.0175298,1,MPO473227,89,11,2005,2018,-999,0.19,M-v,38h,MPCLINUX,2012 BY154,20180318
K12D42T,17.7,0.15,K221L,11.2495,127.03322,115.82144,1.16711,0.9683582,0.0032522,45.1180993,9,MPO630349,10,1,-999,-999,1,0.19,M-v,3Ek,Pan,2012 DT42,20120227
K12D98Z,6.5,0.15,K221L,269.25194,223.24429,66.89143,2.7647,0.0260248,0.00354846,42.5705538,3,MPO434971,19,5,2006,2014,-999,0.25,M-v,38h,MPCLINUX,2012 DZ98,20140226
K12DA6Q,7.3,0.15,K221L,22.24171,251.20418,273.83969,1.12425,0.1627736,0.00342601,43.5789831,2,MPO466389,106,8,2011,2018,-999,0.17,M-v,38h,MPCW,2012 DQ106,20180318
K12DC1V,7.05,0.15,K221L,351.7105,216.6749,5.68568,33.38585,0.4379128,0.00191869,64.1406051,2,E2021-BB0,132,9,2012,2020,-999,1.04,M-v,3Ek,Pike,2012 DV121,20200522
K12E18E,6.3,0.15,K221L,358.19751,340.32554,243.56043,16.30478,0.4410808,0.0017508,68.1781624,1,MPO554385,75,8,2011,2020,-999,0.17,M-v,38h,MPCLINUX,2012 EE18,20200623
K12F84H,7.2,0.15,K221L,150.68523,5.76348,21.24793,3.65224,0.2550657,0.00236356,55.8158924,8,MPO380703,9,2,2012,2013,-999,0.34,M-v,38h,MPCW,2012 FH84,20130312
K12F87N,7.8,0.15,K221L,356.10972,161.5251,74.04953,20.64483,0.2538872,0.00399498,39.3362378,1,MPO545841,98,8,2012,2020,-999,0.19,M-v,38h,MPCLINUX,2012 FN87,20200526
K12G11U,8.9,0.15,K221L,2.45959,6.06992,144.92161,10.76044,0.8924726,0.00044743,169.2981323,0,MPO473230,101,9,2010,2018,-999,0.15,M-v,38h,MPCLINUX,2012 GU11,20180317
K12G17X,7.6,0.15,K221L,52.0953,243.29216,209.23763,32.6221,0.5477544,0.0043303,37.2784201,1,MPO543816,25,5,2012,2020,-999,0.23,M-v,38h,MPCLINUX,2012 GX17,20200422
K12H02D,15.3,0.15,K221L,6.84322,200.1648,22.09576,146.709,0.9593681,0.00199358,62.5239228,0,MPO271288,104,2,2012,2013,-999,0.31,M-v,38h,MPCADO,2012 HD2,20130214
K12H85E,8.9,0.15,K221L,14.02137,39.49844,235.16579,3.0225,0.1031433,0.00328505,44.8168906,3,MPO446921,54,5,2012,2017,-999,0.11,M-v,38h,MPCLINUX,2012 HE85,20170623
K12H87W,7.6,0.15,K221L,4.4238,112.45889,125.58907,14.07695,0.6483791,0.00110881,92.448279,0,MPO466394,88,8,2011,2018,-999,0.17,M-v,38h,MPCW,2012 HW87,20180704
K12H87X,6.7,0.15,K221L,5.06457,285.38223,271.7697,12.69208,0.6653273,0.00092733,104.1471269,0,MPO545843,78,8,2011,2020,-999,0.18,M-v,38h,MPCLINUX,2012 HX87,20200515
K12O06L,7.2,0.15,K221L,275.1764,275.64737,160.9186,8.77688,0.2895239,0.00246402,54.2883724,4,MPO389036,11,2,2012,2013,-999,0.45,M-v,38h,MPCW,2012 OL6,20130811
K12S67B,6.45,0.15,K221L,11.93542,151.05623,214.66515,17.89788,0.1474653,0.0030173,47.4303954,2,MPO660127,67,10,2008,2021,-999,0.77,M-v,3Ek,MPCLINUX,2012 SB67,20210930
K12TD9L,14.9,0.15,K221L,20.46406,273.8818,308.1418,160.0185,0.881682,0.00602727,29.9035077,0,MPO640330,48,3,2012,2015,-999,0.24,M-v,38h,Veres,2012 TL139,20150516
K12TW4C,6.67,0.15,K221L,8.13309,258.91422,131.70149,9.63052,0.202279,0.00355271,42.5366042,2,E2021-VK0,246,11,2008,2021,-999,0.58,M-v,3Ek,Pan,2012 TC324,20211107
K12TW4D,7.01,0.15,K221L,59.17323,193.34634,114.50218,9.57383,0.1427046,0.00394237,39.6854203,2,MPO649997,131,10,2009,2018,-999,0.61,M-v,3Ek,MPCLINUX,2012 TD324,20181127
K12TW4E,6.59,0.15,K221L,318.64459,300.83197,151.8374,5.54193,0.1210575,0.00312394,46.3448116,3,E2021-VR4,72,10,2010,2021,-999,0.85,M-v,3Ek,MPCLINUX,2012 TE324,20211111
K12TW4F,6.63,0.15,K221L,347.42477,91.06505,318.31977,7.87563,0.1149166,0.00341887,43.6395958,3,E2021-W43,67,11,2008,2021,-999,0.71,M-v,3Ek,MPCLINUX,2012 TF324,20211123
K12TZ9F,6.26,0.15,K221L,223.01712,102.72364,93.91048,24.76469,0.0682529,0.00359365,42.2129379,3,E2020-OF1,108,9,2011,2019,-999,0.7,M-v,3Ek,Pike,2012 TF359,20191203
K12UH7G,9.6,0.15,K221L,12.72949,130.05436,261.83748,21.88553,0.2292209,0.00396839,39.5117587,3,MPO369168,20,3,2011,2016,-999,0.13,M-v,38h,MPCADO,2012 UG177,20160204
K12UH7H,7.9,0.15,K221L,151.14628,347.3831,255.1226,23.75644,0.1875007,0.00396252,39.55081,5,MPO317745,27,2,2011,2013,-999,0.09,M-v,38h,MPCW,2012 UH177,20130214
K12UH7J,9.1,0.15,K221L,26.01691,47.30916,298.7354,15.64337,0.4389129,0.00236905,55.7296096,3,MPO317745,25,2,2011,2013,-999,0.09,M-v,38h,MPCW,2012 UJ177,20130214
K12UH7K,8.7,0.15,K221L,359.28838,162.04448,251.46256,24.85421,0.6216124,0.00109134,93.4320409,1,MPO543901,27,3,2011,2019,-999,0.09,M-v,38h,Rudenko,2012 UK177,20191026
K12UH7L,7.47,0.15,K221L,351.07759,145.97515,272.1034,19.25037,0.120302,0.00377307,40.8638941,4,MPO660144,37,5,2008,2021,-999,0.35,M-v,3Ek,MPCLINUX,2012 UL177,20211003
K12UH7M,8.6,0.15,K221L,51.11644,59.13601,287.61684,16.19039,0.0633291,0.00340306,43.7746955,5,MPO317745,19,2,2011,2013,-999,0.11,M-v,38h,MPCW,2012 UM177,20130214
K12UH7N,7.55,0.15,K221L,0.05671,69.92185,341.12348,20.07287,0.1620691,0.00345181,43.3615275,4,MPO660144,40,6,2009,2021,-999,0.28,M-v,3Ek,MPCLINUX,2012 UN177,20211003
K12UH7O,8.3,0.15,K221L,127.7779,344.4571,289.82671,16.46066,0.0339881,0.00365412,41.7458994,4,MPO317746,25,2,2011,2013,-999,0.1,M-v,38h,MPCW,2012 UO177,20130214
K12UH7P,8.1,0.15,K221L,54.61998,60.62961,280.07553,16.61627,0.1051417,0.00348761,43.0643128,2,MPO434984,29,3,2011,2017,-999,0.1,M-v,38h,MPCLINUX,2012 UP177,20171220
K12UH7Q,8.0,0.15,K221L,339.09689,119.38192,329.98727,19.58994,0.31372,0.00261381,52.1939892,2,MPO357189,28,3,2011,2015,-999,0.11,M-v,38h,MPCADO,2012 UQ177,20151108
K12UH7R,7.9,0.15,K221L,346.83637,157.63258,291.38595,16.36524,0.4932032,0.00154156,74.2156012,2,MPO434984,28,3,2011,2017,-999,0.1,M-v,38h,MPCLINUX,2012 UR177,20171220
K12UH7S,8.7,0.15,K221L,20.45688,92.62596,271.72494,17.22636,0.3724026,0.00231598,56.5777847,4,MPO317746,25,2,2011,2013,-999,0.09,M-v,38h,MPCW,2012 US177,20130217
K12UH7T,7.6,0.15,K221L,154.05105,284.0427,320.26692,16.35456,0.1241001,0.00299277,47.6892874,6,MPO317746,21,2,2011,2013,-999,0.1,M-v,38h,MPCW,2012 UT177,20130216
K12UH7V,9.28,0.15,K221L,311.57164,201.12203,265.61928,20.84596,0.0723063,0.00596145,30.1232206,4,MPO599396,34,4,2011,2021,-999,0.18,M-v,3Ek,Alexanders,2012 UV177,20210111
K12UH7W,11.3,0.15,K221L,12.37052,34.02094,19.91653,53.84827,0.2597873,0.00597199,30.0877621,4,MPO317747,19,2,2012,2013,-999,0.13,M-v,38h,MPCW,2012 UW177,20130903
K12UH8D,7.44,0.15,K221L,21.26094,318.96561,66.83347,8.69011,0.4213099,0.0023866,55.456212,2,E2021-VR4,55,9,2010,2021,-999,0.78,M-v,3Ek,MPCLINUX,2012 UD178,20211105
K12UI5D,7.6,0.15,K221L,172.92989,357.69452,246.19898,28.29638,0.0416978,0.00591577,30.2781106,2,MPO599396,48,6,2010,2021,-999,0.86,M-v,3Ek,Alexanders,2012 UD185,20210111
K12UI5E,6.5,0.15,K221L,35.95822,242.54832,202.21475,20.48087,0.1473811,0.00367296,41.6030857,2,MPO599396,58,7,2012,2020,-999,0.21,M-v,38h,Rudenko,2012 UE185,20201126
K12VB6B,5.2,0.15,K221L,275.80563,0.02397,193.37769,23.21586,0.1579333,0.00306343,46.9530765,1,E2020-V70,129,9,2011,2020,-999,0.1,M-v,38h,MPCLINUX,2012 VB116,20201110
K12VC8R,4.68,0.15,K221L,205.57496,275.84194,283.51568,18.48722,0.1421085,0.00368209,41.5342364,2,E2021-WA8,247,10,2004,2021,-999,0.83,M-v,3Ek,MPCLINUX,2012 VR128,20211128
K12W37D,6.9,0.15,K221L,28.38345,15.5501,83.70097,21.13602,0.1129651,0.00389949,39.9758054,1,MPO599402,98,9,2010,2020,-999,0.18,M-v,38h,MPCLINUX,2012 WD37,20201224
K12W37E,7.78,0.15,K221L,10.24385,330.62603,59.85937,25.67311,0.25066,0.00296907,47.9426632,4,MPO650006,33,4,2012,2016,-999,0.46,M-v,3Ek,MPCLINUX,2012 WE37,20160110
K12W37F,8.23,0.15,K221L,342.50514,274.54201,173.49717,18.99407,0.291701,0.003968,39.5143734,4,MPO650006,55,7,2012,2021,-999,0.51,M-v,3Ek,MPCLINUX,2012 WF37,20210111
K12W37G,6.6,0.15,K221L,298.07016,40.66161,106.89204,14.3326,0.3408207,0.00286192,49.1320176,5,MPO650006,29,5,2012,2017,-999,0.57,M-v,3Ek,MPCLINUX,2012 WG37,20171129
K12XF7R,6.4,0.15,K221L,324.78789,275.84393,223.51666,29.94801,0.2230158,0.00299368,47.6796,1,MPO599408,96,12,2006,2020,-999,0.15,M-v,38h,Rudenko,2012 XR157,20201217
K12XF9W,7.4,0.15,K221L,20.20665,273.40329,146.42692,21.00668,0.2093661,0.0039746,39.4705829,1,MPO466419,87,7,2012,2017,-999,0.13,M-v,38h,MPCW,2012 XW159,20171225
K12Y09O,7.4,0.15,K221L,308.29396,1.52519,118.42932,15.40083,0.1665946,0.0034017,43.7863408,2,MPO411543,23,4,2008,2015,-999,0.12,M-v,38h,MPCLINUX,2012 YO9,20150118
K12Y12F,6.1,0.15,K221L,299.24641,13.19615,153.38438,28.20888,0.1368457,0.00343833,43.474778,1,MPO466419,112,6,2012,2018,-999,0.16,M-v,38h,MPCW,2012 YF12,20180122
K12Y12G,7.0,0.15,K221L,322.98858,29.81969,114.41872,30.96831,0.2121757,0.00398936,39.3732151,1,MPO466420,110,6,2012,2018,-999,0.18,M-v,38h,MPCW,2012 YG12,20180110
K13AI3R,6.05,0.15,K221L,28.83106,260.75743,164.98165,7.04411,0.5025826,0.0016492,70.9501339,3,MPO623751,23,5,2005,2021,-999,0.27,M-v,3Ek,Pike,2013 AR183,20210320
K13AI3S,6.7,0.15,K221L,21.65243,320.60943,135.43496,21.75163,0.403116,0.00208343,60.713187,0,MPO473267,94,10,2004,2018,-999,0.18,M-v,38h,MPCLINUX,2013 AS183,20180318
K13AI3T,4.9,0.15,K221L,70.31642,68.33609,304.58813,28.13684,0.425944,0.00203119,61.7497712,1,MPO477691,84,9,2003,2018,-999,0.19,M-v,38h,MPCLINUX,2013 AT183,20180212
K13B27N,17.0,0.15,K221L,7.33766,300.24962,128.37538,101.79504,0.9738545,0.00217091,59.0710411,999,MPO562430,58,1,-999,-999,52,0.52,M-v,38h,MPCLINUX,2013 BN27,20130211
K13B78K,12.5,0.15,K221L,15.49793,282.78455,175.21359,2.21116,0.7821692,0.00423387,37.8423406,0,MPO384267,39,4,2011,2015,-999,0.12,M-v,38h,MPCW,2013 BK78,20150217
K13CD4A,11.3,0.15,K221L,18.09199,256.41134,268.57067,8.52024,0.6446326,0.00573085,30.9259625,0,E2021-A28,211,11,2010,2020,-999,0.17,M-v,38h,Pike,2013 CA134,20200622
K13CM3D,5.8,0.15,K221L,183.93834,260.90141,73.56543,5.27676,0.2305579,0.00401491,39.2059476,2,MPO473271,90,10,2005,2018,-999,0.14,M-v,38h,MPCLINUX,2013 CD223,20180307
K13CO2Z,6.28,0.15,K221L,306.22937,120.43571,128.04234,33.85164,0.2309076,0.00330372,44.6478069,3,MPO640368,109,9,2010,2021,-999,0.89,M-v,3Ek,Pan,2013 CZ242,20210402
K13D04G,16.82,0.15,K221L,1.89971,99.65696,149.71409,5.2855,0.9904026,0.00062089,136.0795872,9,MPO630349,12,1,-999,-999,2,0.42,M-v,3Ek,Pan,2013 DG4,20130218
K13EE9M,6.7,0.15,K221L,37.43786,16.69084,169.41278,2.63603,0.0542123,0.00324551,45.1801668,2,MPO456848,44,4,2005,2015,-999,0.08,M-v,38h,MPCLINUX,2013 EM149,20150421
K13EF4J,5.9,0.15,K221L,157.36412,94.05703,290.48713,9.79016,0.120626,0.00339959,43.8044759,1,MPO477700,89,10,1999,2018,-999,0.17,M-v,38h,MPCLINUX,2013 EJ154,20180320
K13F28A,6.2,0.15,K221L,251.19688,23.27742,301.6679,1.53772,0.0453756,0.00337118,44.050218,2,MPO554460,79,11,2000,2020,-999,0.22,M-v,38h,Pike,2013 FA28,20200422
K13F28D,6.7,0.15,K221L,102.6072,199.88112,251.22101,6.84619,0.1826842,0.00396985,39.5020684,2,MPO477701,68,7,2011,2018,-999,0.26,M-v,38h,Payne,2013 FD28,20180412
K13F28G,7.2,0.15,K221L,351.01561,239.64905,329.52624,21.0972,0.3355678,0.00248015,54.0526599,5,MPO419451,21,2,2013,2016,-999,0.27,M-v,38h,MPCLINUX,2013 FG28,20160331
K13F28H,6.2,0.15,K221L,300.5244,297.35677,322.96068,13.11296,0.1408669,0.00349008,43.0439625,3,MPO623758,79,10,2001,2021,-999,0.96,M-v,3Ek,MPCLINUX,2013 FH28,20210509
K13F28K,7.72,0.15,K221L,31.02777,245.52883,247.31946,12.05175,0.1066735,0.00354391,42.6069651,5,MPO655151,26,4,2013,2019,-999,0.11,M-v,3Ek,Alexanders,2013 FK28,20190405
K13F28M,7.36,0.15,K221L,63.37377,221.62179,203.61474,16.05133,0.3374913,0.00298499,47.7720992,9,MPO655151,10,1,-999,-999,18,9.41,M-v,3Ek,Alexanders,2013 FM28,20130403
K13F28N,8.3,0.15,K221L,7.70497,250.72707,299.30773,8.65305,0.4232546,0.00471255,35.2342992,0,MPO660173,179,12,2003,2021,-999,0.13,M-v,38h,Rudenko,2013 FN28,20210318
K13F28O,6.82,0.15,K221L,40.39261,263.21424,248.00714,8.87655,0.2165499,0.00300646,47.5443753,4,E2021-VK0,112,13,2004,2021,-999,0.17,M-v,3Ek,Pike,2013 FO28,20210503
K13F28Q,6.0,0.15,K221L,95.67481,227.93506,214.84052,25.8426,0.2760322,0.00199676,62.4575845,5,MPO380708,15,3,2013,2015,-999,0.16,M-v,38h,MPCW,2013 FQ28,20150420
K13F28S,4.9,0.15,K221L,348.04749,102.49292,204.62605,13.11155,0.824609,0.00036579,193.633981,5,MPO389092,13,2,2013,2014,-999,0.16,M-v,38h,MPCW,2013 FS28,20140502
K13GD6O,8.2,0.15,K221L,38.57314,150.77874,39.17239,24.31347,0.0581323,0.00408664,38.745813,3,MPO456851,37,4,2013,2017,-999,0.14,M-v,38h,MPCLINUX,2013 GO136,20170526
K13GD6Q,6.5,0.15,K221L,239.43703,156.90884,203.40334,2.03169,0.1765137,0.00290267,48.6711186,4,MPO456851,35,5,2013,2017,-999,0.1,M-v,38h,MPCLINUX,2013 GQ136,20170528
K13GD6S,8.5,0.15,K221L,354.69685,197.76447,44.58381,6.98809,0.3854863,0.00237758,55.5963276,2,MPO419452,17,4,2013,2017,-999,0.07,M-v,38h,MPCLINUX,2013 GS136,20170530
K13GD6X,8.3,0.15,K221L,350.70737,181.89384,63.487,1.10239,0.2515189,0.00296701,47.9649182,5,MPO640377,35,5,2013,2018,-999,0.18,M-v,3Ek,MPCLINUX,2013 GX136,20180411
K13GD6Y,7.79,0.15,K221L,348.96528,44.33653,221.05047,10.88605,0.4158443,0.00237473,55.6408268,5,MPO623760,46,5,2013,2021,-999,0.29,M-v,3Ek,MPCLINUX,2013 GY136,20210512
