"spkid","full_name","pdes","name","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch.mjd","epoch.cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp.cal","per","per.y","moid","moid.ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A2","A3","DT"
3031205,"       (1999 XY143)","1999 XY143",,,N,N,6.2,,,,,,,,,,,,,,,,,,,13,2459600.5,59600,2022-01-21.0000000,J2000,.0849291211371566,42.8953207404555,39.25225884907217,7.171682554380514,255.4437557530862,79.42975730243884,121.1316563708645,46.53838263183884,.003508239181410852,2425072.735469945670,1927-07-11.2354699,102615.5804619982,280.946147739899,38.2512,14886.219504,34.2984,5.798,4.0728E-5,.0045316,.0054523,.00014984,.00042149,.05163,.054957,.0049165,5.5593E-7,10.338,16.261,TNO,"Otto Matic",7340,1999-12-14,2020-01-18,44,,,3,.44428,,,,,
3050505,"       (2000 AB255)","2000 AB255",,,N,N,8.9,,,,,,,,,,,,,,,,,.2007,,"JPL 6",2451545.5,51545,2000-01-02.0000000,J2000,.09979974976859929,43.08030793693103,38.78090398487111,20.38951868326964,159.0132524681572,279.0704657337536,.00904282299999337,47.37971188899094,.003485666844475318,2451542.905712191248,1999-12-30.4057122,103280.0941864509,282.765487163452,37.8578,14733.120026,34.0204,5.488,70.149,3140.5,234.54,119.44,2125.9,1007700.,819300.,3453.9,.38115,2.3505E8,1.1293E7,TNO,"Otto Matic",1,2000-01-01,2000-01-02,44,,,9,.04285,,,,,
3050506,"       (2000 AC255)","2000 AC255",,,N,N,8.9,,,,,,,,,,,,,,,,,.047062,,"JPL 6",2451545.5,51545,2000-01-02.0000000,J2000,.1597021357314281,46.80725046238197,39.33203259582369,34.75319401885451,111.0493946973081,141.3894345927673,181.1455381574756,54.28246832894024,.003077757355354825,2509657.443597939950,2159-02-08.9435979,116968.2851618095,320.241711599752,38.381,14936.73377,34.3386,4.976,109.58,7276.2,10820.,2552.2,3466.2,1943100.,2646200.,8438.2,.71766,8.4762E8,2.7274E7,TNO,"Otto Matic",1,2000-01-01,2000-01-02,6,,,9,.052477,,,,,
3050507,"       (2000 AD255)","2000 AD255",,,N,N,8.9,,,,,,,,,,,,,,,,,.1559,,"JPL 6",2451545.5,51545,2000-01-02.0000000,J2000,.04236780302388488,42.16780711381333,40.38124976806612,32.97417240618803,113.7069208776379,320.3411423910713,359.9960189945083,43.95436445956055,.003599420194562439,2451546.606012989999,2000-01-03.1060130,100016.1083009546,273.829180837658,39.4528,15353.846176,35.411,4.895,96.847,3984.8,321.4,1101.4,1674.8,3347600.,3072900.,4153.6,.51021,8.5373E8,1.4177E7,TNO,"Otto Matic",1,2000-01-01,2000-01-02,18,,,9,.043925,,,,,
3050508,"       (2000 AE255)","2000 AE255",,,N,N,8.3,,,,,,,,,,,,,,,,,.12732,,"JPL 6",2451550.5,51550,2000-01-07.0000000,J2000,.06247579816340319,44.05140063862772,41.2992542235136,35.93345478098185,43.76222382356487,56.60500934082767,.0132155530884161,46.80354705374184,.003371044546303949,2451546.579686012187,2000-01-03.0796860,106791.8252206747,292.380082739698,40.4374,15737.022958,36.7575,4.821,84.295,3595.7,342.89,1336.1,3440.1,2450700.,2155900.,3820.3,.41274,6.3955E8,1.3075E7,TNO,"Otto Matic",1,2000-01-06,2000-01-07,33,,,9,.033376,,,,,
3050509,"       (2000 AF255)","2000 AF255",,,N,N,5.9,,,,,,,,,,,,,,,,,,,11,2459600.5,59600,2022-01-21.0000000,J2000,.2482312071324008,48.34152855692475,36.3416525686139,30.88445562081903,23.45792021893337,200.6117903884127,282.0623806918248,60.3414045452356,.002932401992361219,2486178.581556075638,2094-10-28.0815561,122766.2513317698,336.115677841943,35.3511,13757.587587,31.0073,5.176,7.8444E-5,.0085425,.0093763,3.9613E-5,.00022593,.029169,.025952,.010663,7.7729E-7,3.3138,32.541,TNO,"Otto Matic",7331,2000-01-06,2020-02-01,58,,,3,.2285,,,,,
3031927,"       (2000 CL104)","2000 CL104",,,N,N,6.2,,,,,,,,,,5.5,,,,,,,,,12,2459600.5,59600,2022-01-21.0000000,J2000,.07553108542944034,44.14745801615217,40.81295259324155,1.244885199843445,140.9253545604254,303.9502666863705,85.04186057141358,47.4819634390628,.003360048301842678,2434290.786289998890,1952-10-05.2862900,107141.3169276683,293.336938884787,39.8293,15500.368681,35.6825,5.925,6.6972E-5,.0083563,.0063697,.00010522,.0027105,.10386,.10807,.0089875,9.54E-7,24.991,30.42,TNO,"Otto Matic",7301,2000-02-05,2020-02-01,29,,,4,.37653,,,,,
3031928,"       (2000 CM104)","2000 CM104",,,N,N,7.5,,,,,,,,,,,,,,,,,.41538,,"JPL 6",2451590.5,51590,2000-02-16.0000000,J2000,.0001110341170046759,42.58879396729632,42.58406515816387,.9434978974618391,149.0450720858182,352.5396927156621,9.189991124330415,42.59352277642878,.003546182327062655,2448998.983186496901,1993-01-11.4831865,101517.6228398251,277.940103599795,41.5768,16180.443256,37.1177,5.843,307.33,9976.7,3177.3,158.53,292.43,1.5144E8,1.514E8,9977.8,1.2461,4.2695E10,3.5672E7,TNO,"Otto Matic",22,2000-02-05,2000-02-27,4,,,9,.12938,,,,,
3031929,"       (2000 CN104)","2000 CN104",,,N,N,6.9,,,,,,,,,,,,,,,,,.35899,,"JPL 6",2451592.5,51592,2000-02-18.0000000,J2000,9.622124225344677E-5,42.93096027284092,42.92682940251234,31.51675698394471,150.5423640669185,349.7641094941284,10.53290064694004,42.93509114316951,.003503871492553504,2448586.424957200981,1991-11-25.9249572,102743.4940936273,281.29635617694,41.9254,16316.107918,37.5264,5.019,180.92,5800.5,2067.1,3667.1,37.338,9.492E7,9.4898E7,5801.1,.71013,2.7084E10,2.0823E7,TNO,"Otto Matic",25,2000-02-05,2000-03-01,4,,,9,.095787,,,,,
3031930,"       (2000 CP104)","2000 CP104",,,N,N,6.8,,,,,,,,,,,,,,,,,,,9,2459600.5,59600,2022-01-21.0000000,J2000,.1023022878395918,44.00002507773549,39.49872184728374,9.504714897919643,130.7172794463178,151.3390588255872,263.3904169408738,48.50132830818725,.00337695044690141,2488209.028486928895,2100-05-20.5284869,106605.0585167234,291.868743372275,38.4866,14977.830122,34.3067,5.824,.00017836,.017574,.023067,.0002999,.0011185,.14999,.14126,.019372,2.0232E-6,25.404,63.869,TNO,"Otto Matic",6998,2000-02-06,2019-04-05,25,,,4,.24033,,,,,
